t,vx,vxintra,vxinter,vy,vyintra,vyinter,cbocc
-4.945994599459946,5.376611684669075e-6,-2.3327387300354574e-14,5.37661170799646e-6,5.755119098161277e-7,-1.7278327443762767e-14,5.75511922991486e-7,4.3748708497910763e-13
-4.944994499449946,5.5053330005534605e-6,-2.8205293496059888e-14,5.505333028758754e-6,6.010445377568471e-7,-2.3037769925017022e-14,6.010445610680718e-7,4.716168775863115e-13
-4.943994399439944,5.634898183151949e-6,9.061369328051191e-15,5.63489817409058e-6,6.27172548064066e-7,-2.879721240627128e-14,6.27172568155867e-7,5.077441709919128e-13
-4.942994299429943,5.765365281683692e-6,2.0952110183738078e-14,5.765365260731581e-6,6.539013142976196e-7,-1.7278327443762767e-14,6.539013376834458e-7,5.459500644562241e-13
-4.941994199419942,5.89678852872917e-6,3.009086518159524e-14,5.896788498638304e-6,6.8123631944675e-7,-2.879721240627128e-14,6.812363425995575e-7,5.863176951321938e-13
-4.9409940994099415,6.029217959046177e-6,-9.220644750266294e-15,6.029217968266822e-6,7.091830580195844e-7,-2.879721240627128e-14,7.091830914813708e-7,6.28932262571063e-13
-4.93999399939994,6.162699449893859e-6,-2.7727862248416902e-14,6.16269947762172e-6,7.377470936375597e-7,0.0,7.377470876776925e-7,6.738810526273384e-13
-4.9389938993899385,6.297274456595447e-6,-3.332191533709805e-14,6.297274489917364e-6,7.669337768227408e-7,-3.4556654887525534e-14,7.669337921002504e-7,7.212534607783338e-13
-4.937993799379939,6.432980079847091e-6,-3.323633803853099e-14,6.432980113083428e-6,7.967485560077151e-7,-3.4556654887525534e-14,7.967485901806214e-7,7.711410148530504e-13
-4.936993699369937,6.569849175362519e-6,3.345540434129522e-14,6.5698491419071135e-6,8.271967529173353e-7,-1.7278327443762767e-14,8.271967633592502e-7,8.236373971675688e-13
-4.935993599359936,6.7079101526937845e-6,7.935352177516138e-15,6.707910144758432e-6,8.582834358609849e-7,-1.7278327443762767e-14,8.582834653219718e-7,8.788384660744546e-13
-4.934993499349934,6.847187562574731e-6,-2.3079663564850468e-14,6.847187585654397e-6,8.900136673886048e-7,-1.7278327443762767e-14,8.900137031358928e-7,9.368422769497513e-13
-4.9339933993399345,6.98770200107756e-6,2.8073042465680444e-14,6.987701973004517e-6,9.223922911913218e-7,-1.7278327443762767e-14,9.223923232528868e-7,9.977491026364984e-13
-4.932993299329933,7.1294700231243464e-6,-4.986820378986578e-15,7.129470028111168e-6,9.554239666581034e-7,-4.031609736877979e-14,9.554240023343017e-7,1.0616614533548842e-12
-4.9319931993199315,7.2725048810759675e-6,1.4939178692475233e-14,7.272504866136789e-6,9.89113237989067e-7,-1.1518884962508511e-14,9.891132427343193e-7,1.1286840961037613e-12
-4.930993099309931,7.416816168804325e-6,-1.4215656756764056e-14,7.416816183019982e-6,1.0234643498933216e-6,-2.3037769925017022e-14,1.0234643723681675e-6,1.1989240735517752e-12
-4.92999299929993,7.562410410601812e-6,-3.152479203269368e-14,7.562410442126605e-6,1.0584815298016482e-6,-1.7278327443762767e-14,1.058481548605021e-6,1.272490722453948e-12
-4.928992899289929,7.709291060231931e-6,4.980683212790003e-15,7.709291055251249e-6,1.0941687574888014e-6,-2.3037769925017022e-14,1.0941687657484336e-6,1.3494956916108839e-12
-4.927992799279927,7.857458535777498e-6,-1.9314262317608528e-14,7.857458555091759e-6,1.130529845705704e-6,-1.1518884962508511e-14,1.1305298656181655e-6,1.4300529593812945e-12
-4.926992699269927,8.00691072028659e-6,-3.677203185446797e-14,8.006910757058623e-6,1.167568532330526e-6,-2.879721240627128e-14,1.1675685507307327e-6,1.5142788507478529e-12
-4.925992599259926,8.157642938449454e-6,2.872162830178254e-14,8.157642909727827e-6,1.205288388217606e-6,5.759442481254256e-15,1.205288399549497e-6,1.602292053939491e-12
-4.9249924992499245,8.309647847506177e-6,1.4051877170612958e-14,8.309647833454299e-6,1.2436928690324328e-6,0.0,1.2436928832889977e-6,1.6942136366459768e-12
