path,zeta,M,dt,dkx,rtol,atol
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.18116091942004142_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.18116091942004142,0.00078125,0.00027335515297271585,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.1_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.1,0.00078125,0.0005467103059454317,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.21017480113324882_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.21017480113324882,0.00078125,0.0005467103059454317,1.0e-5,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.2438354098268829_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.2438354098268829,0.00078125,0.0005467103059454317,9.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.28288694346259696_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.28288694346259696,0.00078125,0.0005467103059454317,8.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.3281927872511474_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.3281927872511474,0.00078125,0.0005467103059454317,7.000000000000002e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.3807546021222372_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.3807546021222372,0.00078125,0.0005467103059454317,4.9999999999999996e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.4417344703140069_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.4417344703140069,0.00078125,0.0005467103059454317,4.000000000000001e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.5124805876960934_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.5124805876960934,0.00078125,0.0005467103059454317,3.0e-6,1.0e-13
/home/atuin/b228da/b228da10/zeta-M-sweep/dkx/dkx1/zeta=0.11601553017399716/convergencetest_Simulation{Float64}(2d)TwoBandDephasingLiouvillian(GappedDirac)_GaussianAPulse_M=0.5945570708544391_zeta=0.11601553017399716_dkx_PowerLawTest_dkx.hdf5,0.11601553017399716,0.5945570708544391,0.00078125,0.0005467103059454317,4.9999999999999996e-6,1.0e-13
