t,vx,vxintra,vxinter,vy,vyintra,vyinter
1.7254313578394616,9.739649863586672,10.542783585403525,-0.8031337218168489,-3.520409576043752,-1.1457501614131615e-13,-3.520409576043873
1.7354338584646136,5.267362286304096,6.011152222728403,-0.7437899364243233,-3.437683911136104,-1.829647544582258e-13,-3.43768391113625
1.7454363590897728,0.7386266561736461,1.449477749114316,-0.710851092940674,-3.324337122962043,1.3322676295501878e-13,-3.3243371229620697
1.7554388597149284,-3.8120240375192167,-3.1161583072361356,-0.6958657302830935,-3.251560862187368,-1.0302869668521453e-13,-3.2515608621871332
1.765441360340084,-8.337944687326914,-7.658849043214773,-0.679095644112155,-3.2600564635724174,-1.5276668818842154e-13,-3.2600564635720986
1.7754438609652432,-12.794293289144855,-12.15109488962211,-0.6431983995227368,-3.3259482891299967,-8.171241461241152e-14,-3.3259482891301877
1.7854463615903953,-17.151889031993843,-16.56575201236453,-0.5861370196293259,-3.376928455410539,-3.6415315207705135e-13,-3.376928455410224
1.795448862215551,-21.399169222211214,-20.877222783510742,-0.5219464387004886,-3.3552010217050343,1.2789769243681803e-13,-3.3552010217050117
1.80545136284071,-25.529201483034267,-25.062175163911792,-0.46702631912248155,-3.272644402015745,1.7763568394002505e-14,-3.272644402015615
1.8154538634658657,-29.523358227385252,-29.099460177991777,-0.42389804939349374,-3.1974768715192825,-1.5543122344752192e-13,-3.197476871519352
1.8254563640910249,-33.34867616275236,-32.96965567080823,-0.3790204919441542,-3.1781295818305173,2.1671553440683056e-13,-3.1781295818306843
1.8354588647161805,-36.97267902165363,-36.65497329208613,-0.3177057295675193,-3.1882208073119367,1.1102230246251565e-13,-3.1882208073119798
1.845461365341336,-40.37932066742765,-40.139743665221694,-0.2395770022059431,-3.162466470283375,-5.329070518200751e-15,-3.162466470283509
1.8554638659664917,-43.567380149537584,-43.41100471596226,-0.1563754335753648,-3.080533292558772,1.1723955140041653e-13,-3.080533292558802
1.8654663665916473,-46.534253508377155,-46.458672167059454,-0.07558134131767896,-2.986181674744718,7.105427357601002e-14,-2.986181674744585
1.875468867216803,-49.26686612359527,-49.27531114732066,0.008445023725384748,-2.9164224910552683,-1.3322676295501878e-14,-2.9164224910552
1.8854713678419621,-51.75064352180617,-51.85590707810633,0.10526355630011473,-2.8481534119498333,1.376676550535194e-13,-2.8481534119497334
1.8954738684671177,-53.98172988736488,-54.19780734486576,0.21607745750092364,-2.7410401159623152,2.398081733190338e-13,-2.7410401159623565
